Judul,Tanggal,Link,Isi Berita
Demokrat Tak Bergantung Pada TGB yang Mundur demi Jokowi,"Selasa, 24 Jul 2018 11:37 WIB",https://www.cnnindonesia.com/nasional/20180724112548-32-316511/demokrat-tak-bergantung-pada-tgb-yang-mundur-demi-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
JK di Bayang-bayang Rasionalitas Publik soal Cawapres,"Selasa, 24 Jul 2018 10:52 WIB",https://www.cnnindonesia.com/nasional/20180724101943-32-316491/jk-di-bayang-bayang-rasionalitas-publik-soal-cawapres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
SBY dan Prabowo Matangkan Sikap Hadapi Pilpres 2019,"Selasa, 24 Jul 2018 09:32 WIB",https://www.cnnindonesia.com/nasional/20180724092212-20-316462/sby-dan-prabowo-matangkan-sikap-hadapi-pilpres-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Pamer Koalisi dan Strategi Saling Kunci Jokowi Vs Prabowo,"Selasa, 24 Jul 2018 08:44 WIB",https://www.cnnindonesia.com/nasional/20180724081702-32-316453/pamer-koalisi-dan-strategi-saling-kunci-jokowi-vs-prabowo,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Koalisi Jokowi Buka Pintu untuk Partai yang Tak Happy Ending,"Selasa, 24 Jul 2018 08:24 WIB",https://www.cnnindonesia.com/nasional/20180724080422-32-316451/koalisi-jokowi-buka-pintu-untuk-partai-yang-tak-happy-ending,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Tanpa Dihadiri PKS, Pertemuan PA 212 Sepakat Usung Prabowo","Selasa, 24 Jul 2018 07:53 WIB",https://www.cnnindonesia.com/nasional/20180724073854-32-316446/tanpa-dihadiri-pks-pertemuan-pa-212-sepakat-usung-prabowo,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
MK Persempit Regenerasi Pemimpin Jika Kabulkan soal Cawapres,"Selasa, 24 Jul 2018 07:23 WIB",https://www.cnnindonesia.com/nasional/20180723181301-32-316374/mk-persempit-regenerasi-pemimpin-jika-kabulkan-soal-cawapres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Jokowi Disebut Tengah Godok Kenaikan Gaji Walikota dan Bupati,"Selasa, 24 Jul 2018 04:45 WIB",https://www.cnnindonesia.com/ekonomi/20180723203402-532-316414/jokowi-disebut-tengah-godok-kenaikan-gaji-walikota-dan-bupati,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Soal Lurah Pungli, Ketua DPRD Desak Anies Turun ke Jalan","Senin, 23 Jul 2018 23:47 WIB",https://www.cnnindonesia.com/nasional/20180723201209-20-316425/soal-lurah-pungli-ketua-dprd-desak-anies-turun-ke-jalan,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Demokrat Doakan TGB Jadi Cawapres Jokowi,"Senin, 23 Jul 2018 22:25 WIB",https://www.cnnindonesia.com/nasional/20180723220440-32-316426/demokrat-doakan-tgb-jadi-cawapres-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
NasDem: Pertemuan Istana Bogor Kerucutkan Cawapres Jokowi,"Senin, 23 Jul 2018 21:53 WIB",https://www.cnnindonesia.com/nasional/20180723213425-32-316423/nasdem-pertemuan-istana-bogor-kerucutkan-cawapres-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
TGB Mundur dari Demokrat Terkait Dukungan ke Jokowi,"Senin, 23 Jul 2018 21:39 WIB",https://www.cnnindonesia.com/nasional/20180723212900-32-316420/tgb-mundur-dari-demokrat-terkait-dukungan-ke-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Survei Median Paparkan Elektabilitas Jokowi Hanya 35 Persen,"Senin, 23 Jul 2018 21:16 WIB",https://www.cnnindonesia.com/nasional/20180723204018-32-316417/survei-median-paparkan-elektabilitas-jokowi-hanya-35-persen,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Waketum Gerindra Enggan Minta Maaf Usai Sebut AHY Anak Kecil,"Senin, 23 Jul 2018 20:58 WIB",https://www.cnnindonesia.com/nasional/20180723203909-32-316413/waketum-gerindra-enggan-minta-maaf-usai-sebut-ahy-anak-kecil,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
